year,month,day,Upwelling (m^2/s)
1987,   6,  27,0.4379
1987,   6,  28,0.4906
1987,   6,  29,0.1314
1987,   6,  30,0.0797
1987,   7,   1,0.5578
1987,   7,   2,1.5228
1987,   7,   3,1.8265
1987,   7,   4,1.1608
1987,   7,   5,1.4153
1987,   7,   6,1.1064
1987,   7,   7,0.9097
1987,   7,   8,1.3893
1987,   7,   9,0.2085
1987,   7,  10,0.0267
1987,   7,  11,0.0279
1987,   7,  12,0.1434
1987,   7,  13,0.7208
1987,   7,  14,0.6737
1987,   7,  15,0.4984
1987,   7,  16,0.1478
1987,   7,  17,0.8776
1987,   7,  18,1.0101
1987,   7,  19,0.5070
1987,   7,  20,0.4013
1987,   7,  21,0.1707
1987,   7,  22,0.4249
1987,   7,  23,1.2376
1987,   7,  24,1.3579
1987,   7,  25,1.2182
1987,   7,  26,1.0266
1987,   7,  27,0.7990
1987,   7,  28,0.5876
1987,   7,  29,0.7254
1987,   7,  30,1.2671
1987,   7,  31,0.9975
1987,   8,   1,0.7519
1987,   8,   2,1.0954
1987,   8,   3,0.9606
1987,   8,   4,1.2139
1987,   8,   5,1.0980
1987,   8,   6,0.4460
1987,   8,   7,0.1511
1987,   8,   8,0.2015
1987,   8,   9,0.3084
1987,   8,  10,0.6138
1987,   8,  11,0.5220
1987,   8,  12,0.4367
1987,   8,  13,0.4630
1987,   8,  14,0.4489
1987,   8,  15,0.4687
1987,   8,  16,0.3166
1987,   8,  17,0.3333
1987,   8,  18,0.3807
1987,   8,  19,0.6094
1987,   8,  20,0.6099
1987,   8,  21,0.3430
1987,   8,  22,0.1418
1987,   8,  23,0.4221
1987,   8,  24,0.5619
1987,   8,  25,0.1714
1987,   8,  26,0.0948
1987,   8,  27,0.4109
1987,   8,  28,0.6685
1987,   8,  29,0.4715
1987,   8,  30,0.0088
1987,   8,  31,0.3651
1987,   9,   1,1.4286
1987,   9,   2,1.8186
1987,   9,   3,1.1553
1987,   9,   4,0.8663
1987,   9,   5,0.5676
1987,   9,   6,0.4788
1987,   9,   7,0.9126
1987,   9,   8,0.7169
1987,   9,   9,1.2624
1987,   9,  10,1.2898
1987,   9,  11,1.1070
1987,   9,  12,0.7261
1987,   9,  13,0.3396
1987,   9,  14,0.5043
1987,   9,  15,0.4659
1987,   9,  16,0.3439
1987,   9,  17,0.1541
1987,   9,  18,0.3934
1987,   9,  19,0.7899
1987,   9,  20,0.7669
1987,   9,  21,0.6760
1987,   9,  22,0.5364
1987,   9,  23,0.5781
1987,   9,  24,1.4539
1987,   9,  25,1.9471
1987,   9,  26,1.5436
1987,   9,  27,0.8568
1987,   9,  28,0.1699
1987,   9,  29,0.7066
1987,   9,  30,1.3583
1987,  10,   1,1.4734
1987,  10,   2,1.5912
1987,  10,   3,1.0805
1987,  10,   4,0.3006
1987,  10,   5,0.2865
1987,  10,   6,0.2724
1987,  10,   7,0.2582
1987,  10,   8,0.2441
1987,  10,   9,0.2300
1987,  10,  10,0.2158
1987,  10,  11,0.2017
1987,  10,  12,0.1876
