year,month,day,Upwelling (m^2/s)
1991,   2,  23,0.6297
1991,   2,  24,0.3094
1991,   2,  25,0.0120
1991,   2,  26,-0.1680
1991,   2,  27,-0.7704
1991,   2,  28,-0.5457
1991,   3,   1,-0.2254
1991,   3,   2,-0.4209
1991,   3,   3,-2.5379
1991,   3,   4,-1.4931
1991,   3,   5,0.4945
1991,   3,   6,1.3443
1991,   3,   7,0.8232
1991,   3,   8,0.2234
1991,   3,   9,0.1244
1991,   3,  10,0.0724
1991,   3,  11,1.0576
1991,   3,  12,-0.1562
1991,   3,  13,0.3534
1991,   3,  14,1.7161
1991,   3,  15,2.1417
1991,   3,  16,0.0770
1991,   3,  17,-2.9142
1991,   3,  18,-0.3106
1991,   3,  19,0.4601
1991,   3,  20,0.1454
1991,   3,  21,1.4146
1991,   3,  22,0.5861
1991,   3,  23,-0.5621
1991,   3,  24,-0.5147
1991,   3,  25,-0.0637
1991,   3,  26,0.3027
1991,   3,  27,0.6038
1991,   3,  28,0.6484
1991,   3,  29,0.3632
1991,   3,  30,0.0191
1991,   3,  31,-0.3735
1991,   4,   1,-0.0170
1991,   4,   2,0.4959
1991,   4,   3,0.7203
1991,   4,   4,0.8240
1991,   4,   5,0.7491
1991,   4,   6,0.7000
1991,   4,   7,2.1206
1991,   4,   8,1.6932
1991,   4,   9,1.6042
1991,   4,  10,2.4983
1991,   4,  11,2.3271
1991,   4,  12,1.0737
1991,   4,  13,0.4875
1991,   4,  14,0.5197
1991,   4,  15,0.7586
1991,   4,  16,0.6716
1991,   4,  17,0.6845
1991,   4,  18,0.4314
1991,   4,  19,0.0250
1991,   4,  20,-1.1130
1991,   4,  21,-0.4414
1991,   4,  22,0.6852
1991,   4,  23,0.4788
1991,   4,  24,0.0550
1991,   4,  25,0.4819
1991,   4,  26,1.0215
1991,   4,  27,1.2699
1991,   4,  28,1.4869
1991,   4,  29,0.8181
1991,   4,  30,0.7652
1991,   5,   1,0.7144
1991,   5,   2,0.2721
1991,   5,   3,0.3553
1991,   5,   4,0.7135
1991,   5,   5,0.9038
1991,   5,   6,1.3100
1991,   5,   7,0.9880
1991,   5,   8,0.9746
1991,   5,   9,1.9568
1991,   5,  10,1.7284
1991,   5,  11,0.6114
1991,   5,  12,0.1910
1991,   5,  13,0.3897
1991,   5,  14,1.1660
1991,   5,  15,1.0565
1991,   5,  16,0.6849
1991,   5,  17,0.9342
1991,   5,  18,1.8610
1991,   5,  19,0.7850
1991,   5,  20,0.6615
1991,   5,  21,0.3248
1991,   5,  22,0.1389
1991,   5,  23,0.1718
1991,   5,  24,0.3905
1991,   5,  25,1.1822
1991,   5,  26,1.2864
1991,   5,  27,0.6193
1991,   5,  28,0.7651
1991,   5,  29,0.8994
1991,   5,  30,0.8954
1991,   5,  31,1.6245
1991,   6,   1,0.3647
1991,   6,   2,-0.3367
1991,   6,   3,0.2960
1991,   6,   4,0.4010
1991,   6,   5,-0.1164
1991,   6,   6,-0.0011
1991,   6,   7,0.1883
1991,   6,   8,0.2878
1991,   6,   9,0.5996
1991,   6,  10,0.7246
1991,   6,  11,0.5719
1991,   6,  12,0.3169
1991,   6,  13,0.7935
1991,   6,  14,0.4544
1991,   6,  15,0.9058
1991,   6,  16,0.9864
1991,   6,  17,1.1011
1991,   6,  18,1.1852
1991,   6,  19,0.7958
1991,   6,  20,0.8952
1991,   6,  21,0.7728
1991,   6,  22,0.5155
1991,   6,  23,0.4259
1991,   6,  24,0.4612
1991,   6,  25,0.3603
1991,   6,  26,0.6627
1991,   6,  27,-0.4371
1991,   6,  28,-0.8736
1991,   6,  29,0.0588
1991,   6,  30,0.7711
1991,   7,   1,1.0334
1991,   7,   2,0.3935
1991,   7,   3,-0.0016
1991,   7,   4,0.2577
1991,   7,   5,-0.0107
1991,   7,   6,-0.0957
1991,   7,   7,0.0096
1991,   7,   8,0.0476
1991,   7,   9,0.2800
1991,   7,  10,0.6463
1991,   7,  11,0.6260
1991,   7,  12,0.4285
1991,   7,  13,0.5400
1991,   7,  14,0.7488
1991,   7,  15,0.5714
1991,   7,  16,0.2511
1991,   7,  17,0.5572
1991,   7,  18,0.3882
1991,   7,  19,-0.0300
1991,   7,  20,-0.0465
1991,   7,  21,-0.0393
1991,   7,  22,0.0087
1991,   7,  23,0.1389
1991,   7,  24,0.5450
1991,   7,  25,0.9295
1991,   7,  26,0.0543
1991,   7,  27,-0.1043
1991,   7,  28,0.0061
1991,   7,  29,0.0406
1991,   7,  30,-0.0577
1991,   7,  31,-0.1515
1991,   8,   1,0.4058
1991,   8,   2,0.7913
1991,   8,   3,0.8366
1991,   8,   4,0.1729
1991,   8,   5,0.2005
1991,   8,   6,0.1173
1991,   8,   7,0.0693
1991,   8,   8,0.5441
1991,   8,   9,1.0544
1991,   8,  10,0.9160
1991,   8,  11,-0.2335
1991,   8,  12,0.0032
1991,   8,  13,0.2001
1991,   8,  14,0.2012
1991,   8,  15,0.1201
1991,   8,  16,0.7809
1991,   8,  17,0.7109
1991,   8,  18,0.6430
1991,   8,  19,0.4203
1991,   8,  20,0.3456
1991,   8,  21,0.9414
1991,   8,  22,1.2936
1991,   8,  23,1.0999
1991,   8,  24,0.6065
1991,   8,  25,0.6289
1991,   8,  26,0.8114
1991,   8,  27,0.4069
1991,   8,  28,0.3205
1991,   8,  29,0.7275
1991,   8,  30,0.9670
1991,   8,  31,0.6139
1991,   9,   1,0.6842
1991,   9,   2,0.6197
1991,   9,   3,-0.1508
1991,   9,   4,0.2133
1991,   9,   5,0.7188
1991,   9,   6,-0.0708
1991,   9,   7,0.0338
1991,   9,   8,0.6344
1991,   9,   9,0.6526
1991,   9,  10,-0.0238
1991,   9,  11,0.1321
1991,   9,  12,0.4461
1991,   9,  13,0.4978
1991,   9,  14,0.3164
1991,   9,  15,0.1572
1991,   9,  16,0.0783
1991,   9,  17,0.4536
1991,   9,  18,0.6993
1991,   9,  19,0.0223
1991,   9,  20,0.0067
1991,   9,  21,-0.0175
1991,   9,  22,-0.0928
1991,   9,  23,0.2931
1991,   9,  24,0.3371
1991,   9,  25,0.2420
1991,   9,  26,0.1668
1991,   9,  27,0.4951
1991,   9,  28,0.7334
1991,   9,  29,0.4382
1991,   9,  30,-0.0428
1991,  10,   1,0.5893
1991,  10,   2,1.0683
1991,  10,   3,0.3624
1991,  10,   4,0.0003
1991,  10,   5,0.0637
1991,  10,   6,0.8064
1991,  10,   7,1.1162
1991,  10,   8,0.9239
1991,  10,   9,0.8360
1991,  10,  10,0.0123
1991,  10,  11,0.1475
1991,  10,  12,0.2730
1991,  10,  13,0.2798
1991,  10,  14,0.2102
1991,  10,  15,0.6730
1991,  10,  16,0.4788
1991,  10,  17,-0.0649
1991,  10,  18,0.2608
1991,  10,  19,0.5976
1991,  10,  20,0.2914
1991,  10,  21,-0.2133
1991,  10,  22,-0.0702
1991,  10,  23,0.6998
1991,  10,  24,0.9478
1991,  10,  25,0.0373
1991,  10,  26,0.1893
1991,  10,  27,2.2538
1991,  10,  28,1.4905
1991,  10,  29,1.1835
1991,  10,  30,0.7765
1991,  10,  31,-0.0367
1991,  11,   1,0.0768
1991,  11,   2,0.3351
1991,  11,   3,0.6224
1991,  11,   4,0.8761
1991,  11,   5,0.9584
1991,  11,   6,0.5381
1991,  11,   7,0.2021
1991,  11,   8,-0.2046
1991,  11,   9,0.7361
1991,  11,  10,0.5947
1991,  11,  11,0.4706
1991,  11,  12,0.7210
1991,  11,  13,1.3466
1991,  11,  14,2.6728
1991,  11,  15,1.2476
1991,  11,  16,0.0548
1991,  11,  17,-1.0092
